ID,group,Feature 1,Feature 2,Feature 3
ID000,C,2818.190329757489,397.4460457682241,-2422.1568923634554
ID001,A,2923.5378675203033,414.84117787890324,6705.8944521919175
ID002,B,2946.207585986239,413.8591025652524,5898.01230800123
ID003,B,2098.797943959775,392.7657263127411,4209.862094825778
ID004,C,2172.325733117379,369.89004275911293,-1818.0302434974171
ID005,C,2475.56882970256,407.84404478214583,-2062.6534109954882
ID006,C,2777.3194274215352,408.4425178890008,-2389.919385423124
ID007,C,2759.019735325888,393.76543049179855,-2364.8769595133704
ID008,B,1997.627893897366,415.47360886549865,4004.0348184328786
ID009,A,2569.7756761272694,388.27557121081605,5773.603643472657
ID010,A,2648.2738937434306,392.9389153571199,5988.519719317971
ID011,B,2507.899844263862,385.73538125328605,5015.781091697451
ID012,B,2662.7169608469726,413.85018257081356,5322.715057972789
ID013,A,2078.5574374061907,408.3657025374493,4184.4161616686215
ID014,B,2943.2431797189365,397.00143783013135,5880.876701736186
ID015,C,3084.347766521902,391.13316165180277,-2687.7168406449914
ID016,B,2107.0269441517657,410.89253022188,4217.122361345174
ID017,A,1659.3922421752568,417.45432447494755,2875.403868329653
ID018,A,2621.2417995564088,403.7142352282,5839.656112618286
ID019,A,1919.0978221080186,405.6906873229497,3710.928641587218
ID020,B,2300.2531318511883,395.6704919083583,4630.498577235132
ID021,A,2111.128338488051,404.03319432699607,4286.897503954982
ID022,B,2656.661319008939,396.9322340500421,5324.7967237135945
ID023,B,2266.029416217318,435.3744962385689,4542.679560142972
ID024,A,1861.8281796776132,399.195772213964,3586.386498604982
ID025,B,2179.2256332128604,404.53204122601545,4367.855889301556
ID026,C,2611.1701978522515,411.70312392434187,-2194.211798248221
ID027,C,2215.5937021483887,393.10412391425757,-1822.273404775335
ID028,B,2863.72912183889,398.9917104645108,5729.8130067286165
ID029,A,2869.28280902083,400.3567223441174,6622.410714803006
ID030,A,2261.717339342234,385.1715789369282,4877.255349738814
ID031,C,3285.666680273108,405.3169208863156,-2864.3591455830515
ID032,B,2180.132036060507,382.71579211557776,4366.519608677615
ID033,C,2371.560577929125,409.19288301535084,-1956.7825467781952
ID034,B,2026.7646586391913,404.5851010105345,4065.310111549065
ID035,C,2790.600779523438,409.22578065311114,-2362.6657159365755
